,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
335,SE,Sudeste/Centro-Oeste,2017-03-25T00:00:00.000,37231.25541667
336,N,Norte,2017-03-26T00:00:00.000,5040.68345833
337,NE,Nordeste,2017-03-26T00:00:00.000,9814.42629167
338,S,Sul,2017-03-26T00:00:00.000,8898.91429167
339,SE,Sudeste/Centro-Oeste,2017-03-26T00:00:00.000,33605.6855
340,N,Norte,2017-03-27T00:00:00.000,5619.49325
341,NE,Nordeste,2017-03-27T00:00:00.000,11046.29454167
342,S,Sul,2017-03-27T00:00:00.000,11524.912375
343,SE,Sudeste/Centro-Oeste,2017-03-27T00:00:00.000,39222.04225
344,N,Norte,2017-03-28T00:00:00.000,5735.13408333
345,NE,Nordeste,2017-03-28T00:00:00.000,11341.966
346,S,Sul,2017-03-28T00:00:00.000,11781.435625
347,SE,Sudeste/Centro-Oeste,2017-03-28T00:00:00.000,39033.371625
348,N,Norte,2017-03-29T00:00:00.000,5621.653625
349,NE,Nordeste,2017-03-29T00:00:00.000,11365.97308333
350,S,Sul,2017-03-29T00:00:00.000,11749.54104167
351,SE,Sudeste/Centro-Oeste,2017-03-29T00:00:00.000,38189.86354167
352,N,Norte,2017-03-30T00:00:00.000,5644.60704167
353,NE,Nordeste,2017-03-30T00:00:00.000,11110.102125
354,S,Sul,2017-03-30T00:00:00.000,11809.5715
355,SE,Sudeste/Centro-Oeste,2017-03-30T00:00:00.000,37905.769875
356,N,Norte,2017-03-31T00:00:00.000,5530.21516667
357,NE,Nordeste,2017-03-31T00:00:00.000,10782.67329167
358,S,Sul,2017-03-31T00:00:00.000,11692.63570833
359,SE,Sudeste/Centro-Oeste,2017-03-31T00:00:00.000,37399.32054167
360,N,Norte,2017-04-01T00:00:00.000,5239.42154167
361,NE,Nordeste,2017-04-01T00:00:00.000,10049.9525
362,S,Sul,2017-04-01T00:00:00.000,9896.81029167
363,SE,Sudeste/Centro-Oeste,2017-04-01T00:00:00.000,33934.21979167
364,N,Norte,2017-04-02T00:00:00.000,4883.542125
365,NE,Nordeste,2017-04-02T00:00:00.000,9238.318
366,S,Sul,2017-04-02T00:00:00.000,8692.70904167
367,SE,Sudeste/Centro-Oeste,2017-04-02T00:00:00.000,30748.18079167
368,N,Norte,2017-04-03T00:00:00.000,5246.08541667
369,NE,Nordeste,2017-04-03T00:00:00.000,10218.51479167
370,S,Sul,2017-04-03T00:00:00.000,11621.272625
371,SE,Sudeste/Centro-Oeste,2017-04-03T00:00:00.000,37282.14479167
372,N,Norte,2017-04-04T00:00:00.000,5386.80666667
373,NE,Nordeste,2017-04-04T00:00:00.000,10625.42429167
374,S,Sul,2017-04-04T00:00:00.000,12122.884375
